source;target;type;match_type
/archives/1339-11-1210-geaune-40-passiflore-et-ses-auteurs;/evenement/11-1210-geaune-40-passiflore-et-ses-auteurs;301;exact
/archives/1340-1110-orthez-64-passiflore-et-ses-auteurs;/evenement/1110-orthez-64-passiflore-et-ses-auteurs;301;exact
/archives/1372-1110-limoges-87-jean-darot-et-tang-loaec;/evenement/1110-limoges-87-jean-darot-et-tang-loaec;301;exact
/archives/1387-0510-championnat-de-france-des-ecarteurs-et-sauteurs-a-mont-de-marsan-40-passiflore;/evenement/0510-championnat-de-france-des-ecarteurs-et-sauteurs-a-mont-de-marsan-40-passiflore;301;exact
/archives/1380-04-0510-naturellement-nous-gamarde-les-bains-40-chantal-detcherry;/evenement/04-0510-naturellement-nous-gamarde-les-bains-40-chantal-detcherry;301;exact
/archives/1399-0410-mairie-de-chezelles-37-alice-minier;/evenement/0410-mairie-de-chezelles-37-alice-minier;301;exact
/archives/1378-2709-salon-autour-du-livre-vic-en-bigorre-65-david-dupouy;/evenement/2709-salon-autour-du-livre-vic-en-bigorre-65-david-dupouy;301;exact
/archives/1395-2709-librairie-solidaire-chartronsbacalan-33-jean-michel-cormary-et-jean-michel-lafon;/evenement/2709-librairie-solidaire-chartronsbacalan-33-jean-michel-cormary-et-jean-michel-lafon;301;exact
/archives/1303-2109-mediatheque-de-magescq-40-jean-tucoo-chala-marc-large-et-gilles-kerlorc-h;/evenement/2109-mediatheque-de-magescq-40-jean-tucoo-chala-marc-large-et-gilles-kerlorc-h;301;exact
/archives/1376-2009-begles-33-passiflore-jean-michel-cormary-et-jean-michel-lafon;/evenement/2009-begles-33-passiflore-jean-michel-cormary-et-jean-michel-lafon;301;exact
/archives/1386-1409-salon-du-livre-de-cambo-les-bains-64-passiflore;/evenement/1409-salon-du-livre-de-cambo-les-bains-64-passiflore;301;exact
/archives/1355-0609-festival-itinerant-aena-maison-des-ecritures-la-rochelle-17-alice-minier;/evenement/0609-festival-itinerant-aena-maison-des-ecritures-la-rochelle-17-alice-minier;301;exact
/archives/1366-0609-espace-culturel-leclerc-coutras-33-patrick-azzurra;/evenement/0609-espace-culturel-leclerc-coutras-33-patrick-azzurra;301;exact
/archives/1353-3108-la-foret-des-livres-chez-gonzague-saint-bris-chanceaux-pres-loches-37-alice-minier;/evenement/3108-la-foret-des-livres-chez-gonzague-saint-bris-chanceaux-pres-loches-37-alice-minier;301;exact
/archives/1377-3008-librairie-campus-dax-40-david-dupouy;/evenement/3008-librairie-campus-dax-40-david-dupouy;301;exact
/archives/1358-2408-salon-du-livre-leon-40-passiflore;/evenement/2408-salon-du-livre-leon-40-passiflore;301;exact
/archives/1365-2408-tv5-monde-tang-loaec;/evenement/2408-tv5-monde-tang-loaec;301;exact
/archives/1368-1408-arenes-de-dax-40-passiflore;/evenement/1408-arenes-de-dax-40-passiflore;301;exact
/archives/1346-1308-librairie-la-boite-a-livres-marche-de-maubuisson-33-patrick-azzurra;/evenement/1308-librairie-la-boite-a-livres-marche-de-maubuisson-33-patrick-azzurra;301;exact
